,Identifier,TOR0
1073,EVOPUB,7.5
1074,EVOPUB,173.85
1075,EVUFIL,178.82
1076,EVUFIL,179.26
1077,EVUFIL01,179.42
1078,EVUFIL01,179.79
1079,EVUFIL02,179.14
1080,EVUFIL02,179.26
1081,EVUGAE,179.63
1082,EVUGAE,178.72
1083,EWOWUI,178.6
1084,EWOWUI,178.27
1085,EXIBAO,0.79
1086,EXOGII,178.21
1087,EXOGII,178.34
1088,EXOGUU,178.45
1089,EXOGUU,179.08
1090,EXOGUU01,178.34
1091,EXOGUU01,178.89
1092,EXOGUU02,179.03
1093,EXOGUU02,179.58
1094,EXOGUU02,179.72
1095,EXOGUU02,178.6
1096,EXOGUU02,178.44
1097,EXOGUU02,179.6
1098,EXOGUU02,178.81
1099,EXOGUU02,178.16
1100,EXOGUU02,179.85
1101,EXOGUU02,178.78
1102,EXOGUU02,178.16
1103,EXOGUU02,177.49
1104,EXOGUU03,178.57
1105,EXOGUU03,178.87
1106,EZEZEQ,179.69
1107,EZITUC,1.48
1108,EZOYUP,177.56
1109,EZOYUP,178.8
1110,FACWEM,176.64
1111,FACWEM,176.82
1112,FACWEM,177.11
1113,FACWEM,0.94
1114,FADGOJ,179.2
1115,FAFJAZ,178.58
1116,FAGZIW,177.55
1117,FAJSAN,176.98
1118,FAPHEJ,175.23
1119,FAPHEJ,178.81
1120,FAPHEJ,176.62
1121,FAPHEJ,178.5
1122,FAPHEJ,179.99
1123,FAPHEJ,179.33
1124,FAPHIN,176.28
1125,FAPHIN,177.93
1126,FAPHIN,177.9
1127,FAPHIN,179.23
1128,FAPHIN,179.92
1129,FAPHIN,179.26
1130,FAQFAG,180.0
1131,FAQFEJ,168.73
1132,FAQFEK,177.12
1133,FAQGOU,176.31
1134,FAQGOU,7.92
1135,FAQGOU,177.33
1136,FAQGOU,178.01
1137,FAQGOU,1.43
1138,FAQGOU,178.9
1139,FAQGOU,177.61
1140,FAQGOU,4.12
1141,FAQGOU,178.44
1142,FAQGUA,179.43
1143,FAQGUA,1.24
1144,FAQGUA,179.33
1145,FAQWEA,179.51
1146,FAQWEA,178.39
1147,FAQWEA,179.66
1148,FAQWEA,179.9
1149,FARRAU,177.15
1150,FARRAU,176.79
1151,FATTEC,179.42
1152,FATTIG,178.16
1153,FATTIG,177.94
1154,FAVVEG,171.97
1155,FAVVOQ,176.99
1156,FAVWAD,179.62
1157,FAVWAD,177.08
1158,FAZVOS,177.41
1159,FAZVOS,178.6
1160,FAZWAF,179.19
1161,FAZWAF,179.87
1162,FAZWEJ,178.04
1163,FAZWEJ,179.46
1164,FAZWEJ,176.57
1165,FAZWEJ,177.75
1166,FEBSIP,0.96
1167,FEFLUA,3.06
1168,FEHREQ,176.1
1169,FEHREQ,176.51
1170,FEHWIZ,179.14
1171,FEMTEW,177.8
1172,FEMTEW,179.03
1173,FEMTEW01,177.94
1174,FEMTEW01,178.75
1175,FENREV,176.57
1176,FENREV,175.87
1177,FENREV,175.1
1178,FENREV,177.89
1179,FENREV,172.96
1180,FENREV,175.56
1181,FEQYIK,4.85
1182,FEQYIK,173.44
1183,FEQYIK,177.24
1184,FEQYIK,179.46
1185,FERHER,3.97
1186,FIBCIC,179.5
1187,FIBDEZ,179.55
1188,FIBKAC,179.53
1189,FIDBIE,166.41
1190,FIHSIA,2.34
1191,FIHSIA,3.48
1192,FIJMIU,152.32
1193,FIJMIU,3.93
1194,FILMUI,174.87
1195,FILMUI,179.12
1196,FILMUI,175.28
1197,FILMUI,179.97
1198,FIPCIS,1.2
1199,FIPCIS,0.44
1200,FIPCOY,178.45
1201,FIPCOY,174.72
1202,FISGET,4.13
1203,FISGET,1.17
1204,FISGET,176.98
1205,FISGET,179.19
1206,FISGET,174.15
1207,FITRAD,179.79
1208,FITRUV,2.36
1209,FIVRIL,176.72
1210,FIXDEV,20.87
1211,FOBLUD,0.0
1212,FOBLUD,180.0
1213,FOBLUD,0.0
1214,FOBLUD,180.0
1215,FOCLOY,1.64
1216,FOCLOY,2.87
1217,FOKDEP,2.23
1218,FOKZOV,179.67
1219,FOKZOV,174.69
1220,FORVEP,179.97
1221,FORVEP,179.14
1222,FOSDEY,170.07
1223,FOSDEY,171.82
1224,FOTPUZ,171.19
1225,FOTPUZ,169.62
1226,FOTRAH,172.86
1227,FOTRAH,172.03
1228,FOVNIN,176.14
1229,FOVNIN,177.04
1230,FOVXUL,173.71
1231,FOYBUR,179.72
1232,FOYBUR,173.53
1233,FUBWEF,177.73
1234,FUBWIK,176.38
1235,FUBXEG,175.48
1236,FUBXEG,175.17
1237,FUBXOQ,178.48
1238,FUBXOQ,178.25
1239,FUDBAI,178.48
1240,FUDBAI,175.6
1241,FUDBAI,178.93
1242,FUDBAI,178.18
1243,FUDBEM,176.41
1244,FUDBEM,175.9
1245,FUDBEM,177.13
1246,FUDBEM,178.01
1247,FUDBEM,178.21
1248,FUDBEM,177.45
1249,FUDBEM,179.94
1250,FUDBEM,177.91
1251,FUDTUT,178.04
1252,FUDTUT,177.94
1253,FULHAX,4.57
1254,FULTOV,174.2
1255,FULTUB,173.95
1256,FULTUB,172.49
1257,FULVAJ,172.1
1258,FULVAJ,172.88
1259,FULVAJ,173.46
1260,FULVAJ,173.12
1261,FUMBAQ,3.42
1262,FUMBAQ10,3.31
1263,FUMSUB,172.52
1264,FUMSUB,1.44
1265,FUPZIZ,176.67
1266,FUPZIZ,1.0
1267,FUPZOF,171.88
1268,FUPZOF,2.83
1269,FUPZOF,175.91
1270,FUPZOF,1.7
1271,FUVHOU,2.95
1272,FUVRAR,168.11
1273,FUVRAR,11.58
1274,FUWWOJ,179.59
1275,FUWWOJ,178.49
1276,FUYJUF,7.78
1277,GABBIV,179.49
1278,GABBIV,178.66
1279,GAJQEQ,178.51
1280,GAKNEL,179.27
1281,GAKNEL,179.45
1282,GAMLAK,169.54
1283,GAMLAK,179.29
1284,GAMLIS,174.91
1285,GAMLIS,178.64
1286,GAMWEZ,175.69
1287,GANFAC,173.38
1288,GANFAC,178.51
1289,GARPEW,178.13
1290,GARPEW,178.7
1291,GARQIZ,178.0
1292,GARQIZ,178.82
1293,GARQIZ,178.46
1294,GARQIZ,3.59
1295,GARQOF,179.33
1296,GARQOF,177.84
1297,GARQOF,179.93
1298,GARQOF,0.25
1299,GARQOF,176.86
1300,GARQOF,178.79
1301,GARQOF,178.33
1302,GARQOF,1.31
1303,GARQUL,179.42
1304,GARQUL,179.78
1305,GARQUL,179.19
1306,GARQUL,176.22
1307,GARQUL,179.72
1308,GARQUL,179.77
1309,GASHIU,177.64
1310,GASHIU,178.41
1311,GASHIU01,177.44
1312,GASHIU01,178.23
1313,GASHUG,177.92
1314,GASHUG,179.81
1315,GASJAO,179.02
1316,GASJES,179.08
1317,GASJES,175.86
1318,GASJIW,178.27
1319,GASJIW,177.94
1320,GASJIW,178.14
1321,GASJIW,179.49
1322,GASJIW,177.88
1323,GASJIW,177.1
1324,GASJIW,178.41
1325,GASJIW,179.88
1326,GASMUI,178.05
1327,GASMUI,178.52
1328,GASMUI,178.92
1329,GASTUP,178.87
1330,GASVAX,179.08
1331,GASVAX,179.3
1332,GATCAH,179.21
1333,GAVDAI,179.27
1334,GAVDAI,178.5
1335,GAVDAI,172.23
1336,GAVDAI,176.59
1337,GAYQEC,175.33
1338,GAYQEC,175.01
1339,GAYQIG,175.04
1340,GAYQIG,172.92
1341,GAYQOM,172.5
1342,GAYQOM,175.88
1343,GAZLAU,174.64
1344,GAZLAU,177.5
1345,GEJCIH,178.3
1346,GEJCIH,178.61
1347,GEJCIH,173.22
1348,GEJCIH,173.06
1349,GEPVUS,4.16
1350,GEPVUS,1.69
1351,GEPWAZ,1.37
1352,GEPWAZ,179.86
1353,GEPWAZ,176.25
1354,GEPWAZ,177.72
1355,GEPZOS,177.1
1356,GEPZOS,177.75
1357,GEPZUY,178.37
1358,GEPZUY,177.91
1359,GEPZUY,179.65
1360,GEQBAH,180.0
1361,GEQBAH,177.31
1362,GEQBEL,179.47
1363,GEQBEL,178.35
1364,GEQBEL,178.84
1365,GERDIQ,179.23
1366,GERDIQ,179.22
1367,GERDIQ,177.62
1368,GERDIQ,178.38
1369,GESROL,179.05
1370,GESROL,177.86
1371,GESROL,177.34
1372,GESROL,178.54
1373,GESROL10,179.04
1374,GESROL10,177.53
1375,GESROL10,177.34
1376,GESROL10,178.41
1377,GESSAY,176.72
1378,GESSAY,176.92
1379,GESWOS,178.97
1380,GESWOS,3.05
1381,GESWOS,177.6
1382,GESWOS,9.2
1383,GEVLOJ,174.01
1384,GEVLOJ,179.85
1385,GEXWUB,179.29
1386,GIBJIK,173.44
1387,GIBJIK,172.09
1388,GIKNUJ,173.61
1389,GIKNUJ,178.53
1390,GILVIH,177.08
1391,GIMDOX,0.04
1392,GIMDOX,0.13
1393,GIMMEW,176.8
1394,GIMMEW01,177.0
1395,GIMMOG,179.59
1396,GINKUK,179.77
1397,GINKUK,179.43
1398,GIPBEO,0.23
1399,GIPBEO,1.17
1400,GIPFUG,2.72
1401,GIPFUG,176.71
1402,GIQLUP,171.57
1403,GIQMAW,170.6
1404,GIVSAG,6.56
1405,GIWTUC,2.29
1406,GODJAL,178.47
1407,GODJAL,13.97
1408,GOJSOP,178.6
1409,GOJSOP,178.26
1410,GOJSOP,179.86
1411,GOJSOP,177.12
1412,GOJZAG,176.59
1413,GOJZAG,162.65
1414,GOJZAG10,176.59
1415,GOJZAG10,176.03
1416,GOKNID,174.64
1417,GOKNOJ,179.87
1418,GOKNOJ,177.75
1419,GOKNUP,172.83
1420,GOKNUP,177.6
1421,GOKNUP,178.44
1422,GOKNUP,179.01
1423,GOMBEP,174.93
1424,GOMBEP,175.62
1425,GOMBIT,178.84
1426,GOMBIT01,178.61
1427,GOMBIT02,178.51
1428,GOMBIT03,178.59
1429,GOMBIT04,178.54
1430,GOMBIT05,178.63
1431,GOMBIT06,178.58
1432,GOMBIT07,178.64
1433,GOMRUV,170.58
1434,GOMRUV,173.33
1435,GOPJAY,176.25
1436,GOPJAY,177.5
1437,GOPJAY,176.3
1438,GOPJAY,177.64
1439,GOPJAY,177.04
1440,GOPJAY,177.09
1441,GOPJEC,172.53
1442,GOPJEC,178.69
1443,GOPJEC,178.43
1444,GOPJEC,179.13
1445,GOPJEC,179.22
1446,GOPJEC,179.42
1447,GOPJIG,178.89
1448,GOPJIG,172.46
1449,GOPJIG,176.84
1450,GOPJIG,173.99
1451,GOPJIG,175.14
1452,GOPJIG,177.95
1453,GOPJIG,177.48
1454,GOPJIG,177.41
1455,GOPJIG,174.04
1456,GOPJIG,177.83
1457,GOPJIG,171.83
1458,GOPJIG,175.74
1459,GOPJIG,176.3
1460,GOPJIG,171.62
1461,GOPJIG,176.7
1462,GOPJIG,179.79
1463,GOPJIG,176.96
1464,GOPJIG,172.89
1465,GOQBET,178.41
1466,GOQBET,9.31
1467,GOQBIX,172.18
1468,GOQBIX,16.19
1469,GOQMOO,174.63
1470,GOQMOO,171.98
1471,GORDAS,171.85
1472,GORDAS,177.94
1473,GORDAS,175.82
1474,GORDAS,172.0
1475,GORDAS,179.85
1476,GORDAS,179.41
1477,GORDAS,178.91
1478,GORDAS,178.62
1479,GUCSUS,1.79
1480,GUHXAJ,8.25
1481,GUHXAJ,179.29
1482,GUJVEO,172.83
1483,GUJYIV,176.42
1484,GUJYIV,2.74
1485,GUKVOZ,173.47
1486,GUKVOZ,179.82
1487,GUKVOZ,179.73
1488,GUMCEW,179.56
1489,GUMCEW,179.9
1490,GUMCEW,179.24
1491,GUMCEW,179.91
1492,GUNFOK,178.79
1493,GUNFOK,179.41
1494,GUNFOK,171.78
1495,GUNFOK,179.33
1496,GUNGAX,178.83
1497,GUNGAX,177.25
1498,GUNGAX,179.42
1499,GUNGAX,176.53
1500,GUNGAX,179.61
1501,GUNGAX,179.8
1502,GUNGAX,178.4
1503,GUNGAX,179.44
1504,GUNGIF,177.91
1505,GUNGIF,179.23
1506,GUNGIF,179.92
1507,GUNGIF,179.89
1508,GUNGIF,179.95
1509,GUNGIF,179.72
1510,GUNGIF,178.11
1511,GUNGIF,176.62
1512,GUQZUN,174.36
1513,GURCOM,179.02
1514,HACJOK,178.76
1515,HAHMOU,178.83
1516,HAHMOU,178.97
1517,HAHMUA,179.94
1518,HAHMUA,179.53
1519,HAHRUG,179.68
1520,HAHRUG,178.31
1521,HAHSAN,177.58
1522,HANNOB,175.81
1523,HANNOB,179.54
1524,HANNOB,177.25
1525,HANNUH,178.9
1526,HANPAP,178.68
1527,HAPTEZ,0.83
1528,HAQPIA,154.29
1529,HAQPIA,26.5
1530,HATNOF,179.76
1531,HATNOF,178.19
1532,HATNOF01,169.69
1533,HATNOF01,175.13
1534,HATTOM,171.6
1535,HAVGOA,171.11
1536,HAVGOA,171.45
1537,HAVGUG,172.19
1538,HAVGUG,174.41
1539,HAWXUY,0.83
1540,HAWYAF,0.06
1541,HAXTOP,177.27
1542,HAXTUV,179.45
1543,HAXTUV,4.68
1544,HAXVAD,172.31
1545,HAXVEH,176.25
1546,HAXVEH,172.28
1547,HAXVEH,3.49
1548,HAXVIL,170.89
1549,HAXVOR,169.77
1550,HAXWIM,178.82
1551,HAXWIM,2.35
1552,HAXWOS,177.68
1553,HAXWOS,8.37
1554,HAXWUY,175.08
1555,HAXWUY,1.27
1556,HAXXAF,178.59
1557,HAXXAF,0.51
1558,HAXXEJ,176.67
1559,HAXXEJ,2.48
1560,HAYWIN,177.22
1561,HAYWIN,179.48
1562,HAYWUZ,174.7
1563,HAYWUZ,179.09
1564,HAZLAX,178.71
1565,HCEXMI,179.83
1566,HCEXMI,176.25
1567,HCHXDO,179.85
1568,HCHXDO,178.34
1569,HCHXDO,178.29
1570,HCHXDO,178.72
1571,HECKIJ,178.09
1572,HEGPEO,157.31
1573,HEPLAQ,0.04
1574,HEPLAQ,178.15
1575,HEPLEU,7.53
1576,HEPLEU,173.43
1577,HEPTCL,171.42
1578,HEPTCL,175.03
1579,HEPZAD,172.47
1580,HEPZAD,173.18
1581,HEPZAD,177.91
1582,HEPZAD,179.91
1583,HEPZAD,177.1
1584,HEPZAD,174.76
1585,HEPZAD,175.17
1586,HEPZAD,177.17
1587,HEPZAD,178.72
1588,HEPZAD,179.83
1589,HEPZAD,178.98
1590,HEPZAD,179.76
1591,HEPZAD,178.15
1592,HEPZAD,175.37
1593,HEPZAD,178.29
1594,HEPZAD,179.25
1595,HEPZAD,179.88
1596,HEPZAD,179.81
1597,HEPZAD,175.52
1598,HEPZAD,163.35
1599,HEPZAD,159.64
1600,HEPZAD,172.72
1601,HEPZAD,177.95
1602,HEPZAD,178.6
1603,HEPZEH,175.27
1604,HEPZEH,175.33
1605,HEPZEH,174.25
1606,HEPZEH,171.04
1607,HEPZEH,170.02
1608,HEPZEH,7.57
1609,HESCIR,178.89
1610,HESCIR10,178.89
1611,HESKEV,180.0
1612,HESKIZ,179.74
1613,HEWJEZ,172.18
1614,HEWJEZ,10.08
1615,HEWJID,2.03
1616,HEWJID,177.63
1617,HEWSEH,179.25
1618,HEWSEH,179.85
1619,HEWSEH,177.33
1620,HEWSEH,179.97
1621,HEWSEH,175.95
1622,HEWSEH,176.82
1623,HEXDUJ,5.78
1624,HEXDUJ01,0.07
1625,HEXDUJ02,1.44
1626,HEXFAR,3.76
1627,HEXFAR01,1.05
1628,HEXFAR02,1.96
1629,HHCLMI,173.9
1630,HHCLMI,176.17
1631,HIBMOU,176.71
1632,HIBMOU,177.69
1633,HIBMOU,178.61
1634,HIBMOU,175.93
1635,HIFSEW,177.58
1636,HIHWUS,178.44
1637,HIHWUS,173.48
1638,HIKBAF,0.35
1639,HILQAV,1.73
1640,HIPNOJ,179.35
1641,HIPNOJ,0.28
1642,HIPNUP,179.09
1643,HIPNUP,1.53
1644,HIQXUC,1.27
1645,HIRHIA,5.94
1646,HIRYOX,2.21
1647,HITVIQ,178.64
1648,HITVIQ,1.82
1649,HIVKAA,174.16
1650,HIVKEE,173.45
1651,HIVKII,177.36
1652,HIVKOO,178.91
1653,HOBJUD,169.83
1654,HOBZEF,178.93
1655,HOBZEF,179.89
1656,HOBZIJ,177.34
1657,HOBZIJ,179.15
1658,HOCBEI,179.23
1659,HOCBIM,179.78
1660,HOCBIM,176.61
1661,HOCLUH,178.51
1662,HOCLUH,2.26
1663,HOCVOL,0.03
1664,HOCVOL,175.45
1665,HOCVUR,3.18
1666,HOCVUR,173.64
1667,HOFYUX,179.65
1668,HOFYUX,3.23
1669,HOFZAE,176.92
1670,HOGDUD,178.33
1671,HOGYOT,1.88
1672,HOGYOT,2.75
1673,HOJGUJ,3.01
1674,HOKLIC,176.98
1675,HOKLIC,177.15
1676,HOKLIC,171.95
1677,HOKLIC,178.34
1678,HOKLIC,174.1
1679,HOKLIC,170.62
1680,HOKLIC,170.94
1681,HOKLIC,171.73
1682,HOKLOI,174.44
1683,HOKLOI,171.21
1684,HOKLOI,167.56
1685,HOKLOI,171.74
1686,HOKXAG,177.21
1687,HOLPEE,179.22
1688,HOLPEE,177.57
1689,HOMRAE,178.75
1690,HOMRAE,1.39
1691,HOMZEO,179.67
1692,HONSAE,174.99
1693,HOTCEZ,170.31
1694,HOWBEA,4.15
1695,HOWBEA,11.13
1696,HOWBEA,1.86
1697,HOWBEA,0.18
1698,HOWBEA,1.81
1699,HOWBEA,0.89
1700,HOWHAE,179.59
1701,HOWHAE,178.78
1702,HOWHAE,177.02
1703,HOWHEI,177.3
1704,HOWHEI,177.34
1705,HOWHEI,178.86
1706,HOWHUY,176.14
1707,HOWHUY,177.47
1708,HOWHUY,175.72
1709,HOWHUY,178.67
1710,HOWHUY,179.41
1711,HOWHUY,175.67
1712,HOWJAG,176.47
1713,HOWJAG,178.92
1714,HOWJAG,179.57
1715,HOWJAG,176.0
1716,HOWJAG,175.97
1717,HOWJAG,175.87
1718,HOZDUW,11.78
1719,HOZDUW,3.45
1720,HOZDUW,3.46
1721,HOZMAK,179.34
1722,HQUCLA,177.84
1723,HQUCLA,175.4
1724,HUBMAU,176.5
1725,HUBMAU,177.94
1726,HUCDIU,2.43
1727,HUCDOA,0.32
1728,HUCDOA,1.88
1729,HUCKEV,178.27
1730,HUCKEV,179.29
1731,HUFVIN,0.59
1732,HUFZOX,173.27
1733,HUFZUE,178.77
1734,HUFZUE,179.28
1735,HUJQOT,174.61
1736,HUJQOT,175.44
1737,HUJQOT,175.36
1738,HUJQOT,173.05
1739,HUJQUZ,173.76
1740,HUJQUZ,171.95
1741,HUMNUZ,179.46
1742,HUMNUZ,177.48
1743,HUMPAH,179.04
1744,HUMPIP,178.31
1745,HUMPOV,177.59
1746,HUSPUI,178.15
1747,HUSPUI,178.72
1748,HUSPUI,176.67
1749,HUSPUI,178.18
1750,HUXGIR,179.35
1751,HXCFUL01,179.93
1752,HXCFUL01,178.86
1753,HXCFUL01,176.9
1754,HXCFUL01,178.33
1755,HXCFUL02,178.86
1756,HXCFUL02,176.83
1757,HXCFUL02,179.16
1758,HXCFUL02,179.73
1759,IBOBAF,171.54
1760,ICUREE,178.79
1761,ICUREE,173.45
1762,ICUROO,177.23
1763,ICUROO,177.29
1764,ICUSAB,178.53
1765,ICUSAB,176.14
1766,ICUSOP,176.27
1767,ICUSOP,177.03
1768,IDAZUJ,4.63
1769,IFESOB,175.45
1770,IFINES,7.07
1771,IFINES,176.55
1772,IFINES,179.77
1773,IFOLUK,179.46
1774,IFOLUK,177.8
1775,IFOLUK,179.24
1776,IFOLUK,179.61
1777,IFORUR,3.7
1778,IFORUR,1.64
1779,IGAFIG,0.2
1780,IGAFIG,6.78
1781,IGAKUX,178.84
1782,IGAKUX,179.86
1783,IGAKUX01,179.73
1784,IGAKUX01,179.29
1785,IGASEP,178.13
1786,IGASEP,176.12
1787,IHUSUB,179.54
1788,IHUSUB01,179.69
1789,IKAGOS,178.78
1790,IKENIV,177.1
1791,IKENIV,178.22
1792,IMEKAO,178.43
1793,IMELET,174.55
1794,IMEYAA,176.07
1795,IMEYAA,174.82
1796,IMEYAA,179.87
1797,IMEYAA,177.67
1798,IMIRUR,168.81
1799,IMUROX,179.72
1800,IMUVUH,177.18
1801,IMUWAO,179.41
1802,INOBIX,1.98
1803,INUHUV,177.25
1804,INUVIW,177.47
1805,INUVIW,174.53
1806,INUVIW,173.37
1807,INUVIW,175.47
1808,INUVIW,175.29
1809,INUVIW,176.66
1810,INUVIW,176.69
1811,INUVIW,171.77
1812,IPOJUT,179.42
1813,IPUTEU,178.41
1814,IPUTEU,173.17
1815,IQAFUB,9.87
1816,IQAFUB,176.04
1817,IQAPAR,177.0
1818,IQAPAR,178.47
1819,IQIGUL,179.84
1820,IQIMAW,179.6
1821,IRETOQ,176.82
1822,IRETOQ,176.59
1823,IRUCON,174.76
1824,IRUCON,1.13
1825,IRUFEH,179.52
1826,IRUFEH,179.33
1827,IRUFEH01,177.61
1828,IRUFEH01,179.11
1829,IRUFIL,178.82
1830,IRUFIL,179.95
1831,IRUFOR,176.6
1832,IRUFOR,179.26
1833,ISBZAN,177.48
1834,ISBZAN,178.49
1835,ISBZAN,176.45
1836,ISBZAN,178.55
1837,ISIJOK,178.19
1838,ISIJUQ,177.04
1839,ISIJUQ,177.3
1840,ISIJUQ,178.23
1841,ISIKAX,179.49
1842,ISIKAX,179.47
1843,ISIKEB,176.54
1844,ISIKEB,177.42
1845,ISIKEB,178.62
1846,ISODRN,178.57
1847,ISODRN,179.22
1848,ITAMAR,1.62
1849,ITAMAR,176.03
1850,ITUQUK,176.81
1851,ITUQUK,176.42
1852,IVISIQ,5.15
1853,IVISIQ,0.46
1854,IVUYUV,179.23
1855,IVUYUV,179.36
1856,IWEWIQ,2.08
1857,IWUTID,178.04
1858,IWUTID,176.67
1859,IWUTID,176.77
1860,IWUTID,178.31
1861,IXEXEQ,2.63
1862,IXOYAX,0.27
1863,IYESUA,179.22
1864,IYETAH,179.84
1865,IYEZET,179.68
1866,IZIHAA,177.19
1867,IZIHAA,176.99
1868,IZIROY,177.48
1869,IZIROY,8.3
1870,IZIVUK,179.33
1871,JABFOH,177.58
1872,JAPQEW,171.52
1873,JAPQEW,178.01
1874,JAPQEW,174.77
1875,JAPQIA,177.72
1876,JAPQIA,174.33
1877,JAPYAA,169.4
1878,JAPYAA,169.61
1879,JASSUR,177.38
1880,JASSUR,179.47
1881,JASSUR,179.25
1882,JASSUR,178.86
1883,JASSUR,179.88
1884,JASSUR,179.87
1885,JASTAY,178.39
1886,JASTAY,179.71
1887,JASTAY,174.35
1888,JASTAY,175.32
1889,JASTAY,178.54
1890,JASTAY,178.05
1891,JASTAY01,178.74
1892,JASTAY01,179.84
1893,JASTAY01,174.07
1894,JASTAY01,175.02
1895,JASTAY01,178.84
1896,JASTAY01,177.68
1897,JAVWUZ,179.58
1898,JAWZEP,179.5
1899,JAXMEB,178.95
1900,JAXXUC,176.37
1901,JAXXUC,176.46
1902,JAXXUC01,179.49
1903,JAXXUC01,176.19
1904,JAXXUC02,176.23
1905,JAXXUC02,176.5
1906,JAXZOY,179.69
1907,JEDBAY,2.06
1908,JEDBAY,178.43
1909,JEDBAY,2.26
1910,JEDBAY,179.28
1911,JEDCAX,178.88
1912,JEDCAX,179.97
1913,JEDCAX,178.16
1914,JEDHEF,179.34
1915,JEDHEF,179.31
1916,JEDHIJ,179.86
1917,JEDHIJ,177.92
1918,JEJVOK,176.06
1919,JEJVOK,172.85
1920,JEJVOK,172.3
1921,JEJVOK,178.46
1922,JEKBUW,179.18
1923,JEKBUW,179.52
1924,JEKCAD,178.98
1925,JEKCAD,179.5
1926,JEMXUU,170.86
1927,JEMXUU,169.64
1928,JEPZOT,171.5
1929,JEPZOT,176.37
1930,JEPZOT,174.87
1931,JEPZOT,173.62
1932,JEPZOT,138.6
1933,JEPZOT,137.85
1934,JESXIO,178.92
1935,JESXIO,179.8
1936,JESXIO,178.1
1937,JESXIO,178.96
1938,JESXOU,178.44
1939,JESXOU,177.7
1940,JESXOU,176.25
1941,JESXOU,178.4
1942,JESXUA,175.78
1943,JESXUA,178.65
1944,JESXUA,177.38
1945,JESXUA,178.36
1946,JEVBAO,179.76
1947,JEVBAO,179.56
1948,JEVBAO,179.82
1949,JEVBAO,179.37
1950,JEVBAO,178.81
1951,JEVBAO,178.77
1952,JEVBES,179.13
1953,JEVBES,177.72
1954,JEVBES,174.45
1955,JEVBES,177.7
1956,JEVBES,178.23
1957,JEVBES,176.32
1958,JEVBIW,178.95
1959,JEVBIW,177.63
1960,JEVBIW,178.55
1961,JEVBIW,179.34
1962,JEVBIW,179.82
1963,JEVBIW,178.24
1964,JEWPIK,4.02
1965,JEWPIK,4.01
1966,JEWPIK01,4.02
1967,JEWSOT,5.85
1968,JEWSOT,7.54
1969,JEWSUZ,0.46
1970,JEWSUZ,0.39
1971,JEWSUZ,1.84
1972,JEWSUZ,0.9
1973,JEWSUZ,2.12
1974,JEWSUZ,0.2
1975,JEWSUZ01,1.03
1976,JEWSUZ01,0.58
1977,JEWSUZ01,1.01
1978,JEWTAG,3.03
1979,JEWTAG,0.18
1980,JEXPOR,165.86
1981,JIGRAS,179.94
1982,JIGRAS,177.15
1983,JIGRAS,5.0
1984,JIHPOF,176.99
1985,JIHPUL,178.04
1986,JIMDUE,3.69
1987,JIMDUE,178.51
1988,JIQHAT,179.47
1989,JIQHAT,174.84
1990,JIVLOP,2.88
1991,JIVLOP,2.5
1992,JIXCAU,178.97
1993,JIXCAU01,179.38
1994,JIYFIG,179.24
1995,JIYFIG,179.54
1996,JIYFIG,179.96
1997,JIYFIG,178.43
1998,JIYRAK,178.07
1999,JIZQEQ01,177.88
2000,JOBREX,3.46
2001,JODHIV,177.08
2002,JODJIX,178.78
2003,JODVAB,176.52
2004,JOFCIR,179.88
2005,JOFCIR,178.34
2006,JOFCIR,176.79
2007,JOFCOX,178.89
2008,JOFCUD,177.11
2009,JOFCUD,179.42
2010,JOJWUA,176.24
2011,JOLQOS,177.19
2012,JOLQOS,175.01
2013,JOLSOS,176.46
2014,JOLSOS,175.33
2015,JORFEB,171.19
2016,JORFEB,172.37
2017,JORFIF,177.36
2018,JORFIF,3.79
2019,JORGEC,177.16
2020,JORGOM,176.73
2021,JORGUS,178.7
2022,JORHAZ,174.32
2023,JUGXAK,7.6
2024,JUGXEO,178.98
2025,JUGXEO,180.0
2026,JUGXEO,177.89
2027,JUGXEO,178.61
2028,JUHHEZ,178.53
2029,JUHHEZ,177.09
2030,JUHHEZ,178.0
2031,JUHHEZ,176.05
2032,JUHHEZ,175.79
2033,JUHHEZ,179.15
2034,JUHHID,175.69
2035,JUHHID,175.8
2036,JUHHID,177.69
2037,JUHHID,177.99
2038,JUHKEE,176.8
2039,JUNFUT,174.64
2040,JUNFUT,177.29
2041,JUNFUT,176.9
2042,JUNFUT,175.62
2043,JUNFUT,177.7
2044,JUNFUT,177.46
2045,JUNHUV,177.69
2046,JUNHUV,177.63
2047,JUNJAD,174.67
2048,JUNJAD,176.66
2049,JUSQOD,179.79
2050,JUSQOD,179.79
2051,JUSVEA,177.53
2052,JUSVEA,177.4
2053,JUSVIE,174.68
2054,JUSVIE,173.43
2055,JUSVIE,179.09
2056,JUSVIE,176.38
2057,JUSVOK,173.25
2058,JUSVOK,177.83
2059,JUSVOK,179.35
2060,JUSVOK,179.95
2061,JUYCIR,178.34
2062,JUYHAN,179.44
2063,JUYHAN,178.57
2064,KABJEC,179.53
2065,KABJEC,178.47
2066,KADYAP,178.61
2067,KADYAP,176.34
2068,KAGWOE,6.87
2069,KAGWOE,173.93
2070,KAGWOE10,6.87
2071,KAGWOE10,173.93
2072,KAHQAM,179.49
2073,KAHQAM,169.51
2074,KAHQAM,177.25
2075,KAHQAM,2.46
2076,KALBUW,174.53
2077,KALCAD,179.59
